"nama","harga","ranting","fasilitas"
"Kost Pondok 21 Tipe Double Bed Beji Depok","Rp2.600.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Pasutri wajib membawa surat nikah (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Libra Tipe B Beji Depok","Rp2.000.000","4.4","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Muslimah Parkit 24 Beji Depok","Rp1.500.000","5.0","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Muslimah Fadilah Beji Depok","Rp800.000","","K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam"
"Kost Mawar 29 Tipe B Beji Depok","Rp700.000","","K. Mandi Dalam ·WiFi ·Kasur"
"Kost Wisma 9999 Tipe B  Beji Depok","Rp1.250.000","","K. Mandi Dalam ·WiFi ·AC ·Kasur ·Akses 24 Jam"
"Kost Kencana Tipe B Cimanggis Depok","Rp2.190.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Wisma Almira Tipe Ekonomis Beji Depok","Rp760.000","","K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam"
"Kost Casa 36 Tipe B1 Beji Depok","Rp1.100.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Casa 36 Tipe B4 Beji Depok","Rp1.300.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Ameera Beji Depok","Rp850.000","","WiFi ·Kasur"
"Kost Rumah Sumaira Tugu Tipe B Cimanggis Depok","Rp1.350.000","","Maksimal 2 orang (sewa harian) ·Harga termasuk listrik (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Rumah Sadara Tipe A Cimanggis Depok","Rp1.050.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
